slot,amm_trade,attacker_signer,type,validator,reason
391876755,HumidiFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,failed_frontrun,JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,no_victims_between
391876792,HumidiFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,failed_frontrun,2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,no_victims_between
391876800,SolFiV2,BF4wABAnxt3sqCYRjV36Y1BgiYh26ginsSvvCvhJA91Y,failed_frontrun,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,no_victims_between
391876838,HumidiFi,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,failed_frontrun,GQzMeEMwAR44ugoNCifTb5NdRKos1GduDUPeNh6AgV46,no_victims_between
391876844,HumidiFi,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,failed_frontrun,HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,no_victims_between
391876874,HumidiFi,2gv18Yn3DGUwMGFDbBgt5CukgU98hBbAD3jsijQNYmMW,failed_frontrun,CfgRXmp1LEYr97EaT2RyoL2cSvtWgJh52Bes89RxVSoW,no_victims_between
391876885,HumidiFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,failed_frontrun,D2RV1q6FgePVVjrMa7AMzVbvvAeg5oS7TAV7qdNKSDsX,no_victims_between
391876887,HumidiFi,tfWKAc8BRdyimwmAHHfSCXZFDw9ZyNwPmh4bCWng2Lv,failed_frontrun,D2RV1q6FgePVVjrMa7AMzVbvvAeg5oS7TAV7qdNKSDsX,no_victims_between
391876905,HumidiFi,8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,failed_frontrun,2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,no_victims_between
391876924,HumidiFi,theo9SfM3dKgKFbq4kFVmEXwSQ1pdr61wDqEWXKJpYs,failed_frontrun,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,no_victims_between
391876958,HumidiFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,failed_frontrun,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,no_victims_between
391876978,GoonFi,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,failed_frontrun,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,no_victims_between
391877006,HumidiFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,failed_frontrun,8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7,no_victims_between
391877039,HumidiFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,failed_frontrun,EUcJwf7jXskRE6NZBtFPVH2EedNvNYko8LL2WT62XctB,no_victims_between
391877049,HumidiFi,PZnEAXQs8JHjLuGPywZYAzSUqgfs5LjLmV6uh6eByWY,failed_frontrun,BUv44cVtsdvU9z2BfFGk6s5JZZWrmVnq5qCaii5ARyyB,no_victims_between
391877069,HumidiFi,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,failed_frontrun,8pyp3vfVPRziYdAYEyqkwytdBbdVbQmHqfQAVDcRV3w,no_victims_between
391877070,HumidiFi,enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,failed_frontrun,8pyp3vfVPRziYdAYEyqkwytdBbdVbQmHqfQAVDcRV3w,no_victims_between
391877074,HumidiFi,Cr6vUmtz58dtsyDJX2GKbifgYf7zvwgPt9HyJvwMRLL8,failed_frontrun,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,no_victims_between
391877080,HumidiFi,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,failed_frontrun,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,no_victims_between
391877101,HumidiFi,AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,failed_frontrun,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,no_victims_between
391877102,HumidiFi,AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,failed_frontrun,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,no_victims_between
391877138,HumidiFi,HydraXoSz7oE3774DoWQQaofKb31Kbn2cbcqG4ShKy85,failed_frontrun,EQhTjikb1L2jvxsCaSW2o2TuRXh4Do6HzBEWCxpeM44W,no_victims_between
391877138,HumidiFi,EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,failed_frontrun,EQhTjikb1L2jvxsCaSW2o2TuRXh4Do6HzBEWCxpeM44W,no_victims_between
391877139,HumidiFi,enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,failed_frontrun,EQhTjikb1L2jvxsCaSW2o2TuRXh4Do6HzBEWCxpeM44W,no_victims_between
