validator,trade_count,bot_count,back_running,fat_sandwich,front_running,sandwich,bot_ratio_%
HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,28859,152.0,0.0,1234.0,0.0,27.0,0.53
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,24370,130.0,0.0,948.0,0.0,18.0,0.53
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,18847,110.0,0.0,613.0,0.0,15.0,0.58
5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,15719,107.0,0.0,598.0,0.0,11.0,0.68
9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,10616,105.0,0.0,505.0,0.0,11.0,0.99
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,14358,103.0,0.0,519.0,0.0,10.0,0.72
DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,14189,99.0,2.0,561.0,2.0,9.0,0.7
JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,13022,96.0,2.0,472.0,2.0,10.0,0.74
CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,9620,89.0,0.0,441.0,0.0,10.0,0.93
Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,6335,86.0,0.0,255.0,0.0,5.0,1.36
E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,8879,86.0,0.0,379.0,0.0,11.0,0.97
shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,6579,86.0,0.0,303.0,0.0,3.0,1.31
9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,8468,86.0,0.0,339.0,0.0,10.0,1.02
DNVZMSqeRH18Xa4MCTrb1MndNf3Npg4MEwqswo23eWkf,6507,82.0,0.0,254.0,0.0,5.0,1.26
EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,9818,82.0,0.0,329.0,0.0,9.0,0.84
JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,13085,81.0,0.0,376.0,0.0,24.0,0.62
EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f,6746,81.0,0.0,275.0,0.0,6.0,1.2
ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,8961,81.0,0.0,341.0,0.0,4.0,0.9
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,6908,79.0,0.0,309.0,0.0,5.0,1.14
9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,8279,78.0,0.0,304.0,0.0,4.0,0.94
22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,3978,78.0,0.0,172.0,0.0,1.0,1.96
BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,7316,77.0,0.0,277.0,0.0,7.0,1.05
Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,10272,75.0,0.0,280.0,0.0,11.0,0.73
DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,6312,74.0,2.0,236.0,2.0,5.0,1.17
5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,6863,73.0,0.0,237.0,0.0,7.0,1.06
CG4tRANBKrzUmpv93V5sgftjQznBdiJsc2yPCzZWWuS9,4047,71.0,0.0,180.0,0.0,4.0,1.75
J6etcxDdYjPHrtyvDXrbCkx3q9W1UjMj1vy1jBFPJEbK,6871,71.0,0.0,223.0,0.0,2.0,1.03
GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9,6191,70.0,0.0,195.0,0.0,9.0,1.13
Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,4822,70.0,0.0,185.0,0.0,2.0,1.45
krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,4826,70.0,2.0,205.0,2.0,4.0,1.45
A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,6051,68.0,0.0,254.0,0.0,8.0,1.12
DrifTrN923QaouP89UxkQzFGbumKPCnfkNYQRwmZxatz,3813,66.0,0.0,189.0,0.0,3.0,1.73
9n1eEtJJfj1535NYfx524QcCG5aHbf5DH7ejqBrFLBwG,3381,65.0,0.0,145.0,0.0,2.0,1.92
8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM,2134,63.0,0.0,103.0,0.0,3.0,2.95
76rcGHdPvgs8G1XrzCXUTWtwgT59AFDvpB4VbTS2TBBJ,3720,63.0,0.0,138.0,0.0,3.0,1.69
BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,4471,62.0,0.0,156.0,0.0,6.0,1.39
GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc,4212,61.0,0.0,139.0,0.0,10.0,1.45
FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,5348,60.0,0.0,154.0,0.0,3.0,1.12
BUv44cVtsdvU9z2BfFGk6s5JZZWrmVnq5qCaii5ARyyB,3315,60.0,0.0,147.0,0.0,4.0,1.81
9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,5669,60.0,0.0,202.0,0.0,7.0,1.06
6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK,5006,60.0,0.0,189.0,0.0,4.0,1.2
HpcB5Qg8Y9E73dUkot5e8HkgAJbExsYeUzniY4bCuKac,4304,59.0,0.0,162.0,0.0,5.0,1.37
5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z,4704,58.0,0.0,175.0,0.0,8.0,1.23
7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,2756,58.0,0.0,111.0,0.0,2.0,2.1
HbidP4hpQdwhkzrxder3x3VNPt6DQnE25gFG46napD2p,3386,57.0,2.0,123.0,2.0,7.0,1.68
FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,3326,55.0,0.0,138.0,0.0,2.0,1.65
ana2y2YvQ3ZPMwm6qhnN3nJoUSiT3qx5Pvetkq9xcfY,2893,55.0,0.0,113.0,0.0,1.0,1.9
722RdWmHC5TGXBjTejzNjbc8xEiduVDLqZvoUGz6Xzbp,2726,55.0,0.0,109.0,0.0,5.0,2.02
DTSUkYHd2e9P2HLyZfbLarsbDdPhQUhZnWjRYuJZQRC8,2840,54.0,0.0,116.0,0.0,1.0,1.9
3JotfSFPaod4KVK7nj7ULvcq5PjUBdZNVGracNkJNhrt,3056,54.0,0.0,127.0,0.0,2.0,1.77
G3a3iYZKNLbivothF3twqcaTCEvoPb9uJ2bFc9DNKkBQ,2945,53.0,2.0,123.0,2.0,1.0,1.8
CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,3213,52.0,0.0,146.0,0.0,0.0,1.62
FbYX2uN573G5WsgiPdHU6fS5PNUyjdXfGfpZNkYUuT4k,3575,50.0,0.0,125.0,0.0,1.0,1.4
5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,1870,50.0,0.0,88.0,0.0,1.0,2.67
FZ4MT1HYJHd9GK8D5mJ9f3r7irLaDL5NxBNLjGqrLqs9,2834,49.0,0.0,93.0,0.0,1.0,1.73
AWcCdYG7Dy6GX45c6QMPbgGwgRZPKcBDT4bXGb3QrVRV,3798,49.0,0.0,131.0,0.0,1.0,1.29
GQzMeEMwAR44ugoNCifTb5NdRKos1GduDUPeNh6AgV46,3421,48.0,0.0,95.0,0.0,6.0,1.4
5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,3922,48.0,0.0,92.0,0.0,8.0,1.22
3SkE34PVeGck2ArEffFKjihrQgURsvnoTAhitsNXNzXd,4019,47.0,0.0,151.0,0.0,2.0,1.17
privaEdSEmnMPGPoQACUkcDGkFBbTArVvsEGd7C5wUM,2403,47.0,0.0,94.0,0.0,1.0,1.96
DZVqmD4QqSWM2gUyEXdQhvt4u3NZtCRxdsn2n2nNiBRL,2532,46.0,0.0,109.0,0.0,1.0,1.82
2m1A2WM1vte7RWz5xTTw4i1SiXmngVtXhqFERaUjoAAb,2378,46.0,0.0,78.0,0.0,0.0,1.93
CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,2216,46.0,0.0,91.0,0.0,2.0,2.08
6WgdYhhGE53WrZ7ywJA15hBVkw7CRbQ8yDBBTwmBtAHN,2377,46.0,0.0,92.0,0.0,1.0,1.94
