time_window_sec,amm_oracle,oracle_count,trade_count,oracle_trade_ratio,pool,pool_oracle_p99,pool_trade_p10
2543341,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2543439,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2543477,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2543752,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2543876,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2544181,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2544245,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2544283,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2544361,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2544367,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2544374,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2544826,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2544890,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2545217,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2545246,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2545267,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2545287,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2545312,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2545621,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2545631,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2545639,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2545741,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2545756,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2545943,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2545992,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2546261,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2546267,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2546345,BisonFi,17,0,17.0,BisonFi,10.0,0.0
2546350,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2546470,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2546480,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2546566,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2546590,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2546594,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2546621,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2546652,BisonFi,15,0,15.0,BisonFi,10.0,0.0
2546657,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2546663,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2546669,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2546674,BisonFi,10,0,10.0,BisonFi,10.0,0.0
