signer,aggregator_likelihood,unique_pools,pool_list,total_trades,trades_per_hour,mev_score,top_pools
CYdCZFYk1vMTMo6t4t8hN3yuCDprwAL696HyYQ3csBJX,1.0,5,"GoonFi, HumidiFi, BisonFi, ObricV2, ZeroFi",6,60.0,0.3333333333333333,"HumidiFi(2), GoonFi(1), BisonFi(1), ObricV2(1), ZeroFi(1)"
4G5y7iHHne5Ji8ggwgznKAE6fuFuzrGGKSEptAbT8XGN,1.0,5,"GoonFi, BisonFi, TesseraV, SolFiV2, HumidiFi",6,60.0,0.3,"GoonFi(2), BisonFi(1), TesseraV(1), SolFiV2(1), HumidiFi(1)"
FXWdwFtpTRe3cBU5tnDdvwq555jfGtPPCVmrDUur3wZR,1.0,5,"HumidiFi, BisonFi, GoonFi, SolFiV2, TesseraV",6,0.6479849991472697,0.3,"HumidiFi(2), BisonFi(1), GoonFi(1), SolFiV2(1), TesseraV(1)"
HycWbZbnYcn7cJh1hkPhx31uRKzYBBW7ZBtT51kWC6Mt,1.0,5,"ZeroFi, BisonFi, TesseraV, GoonFi, HumidiFi",9,0.942596567272768,0.37777777777777777,"ZeroFi(5), BisonFi(1), TesseraV(1), GoonFi(1), HumidiFi(1)"
7UPR8QXz69EhcBqh9Rn17q6qKxrWyReFSryxsWxxLqKa,1.0,5,"HumidiFi, SolFiV2, TesseraV, GoonFi, BisonFi",6,1.1552224854216002,0.35,"HumidiFi(2), SolFiV2(1), TesseraV(1), GoonFi(1), BisonFi(1)"
4oqnFNECycbNsMP5yPtmR2io15DNvjQ9hkTU1xgsgnB5,1.0,5,"BisonFi, HumidiFi, TesseraV, SolFiV2, GoonFi",13,2.2922043306204998,0.34615384615384615,"HumidiFi(5), TesseraV(3), SolFiV2(2), GoonFi(2), BisonFi(1)"
F92zLG7B3WysogrUWtTWXdLC2qSfs8Vgu3F8fmsfVkT2,1.0,5,"GoonFi, HumidiFi, ZeroFi, TesseraV, ObricV2",8,1.117088699286355,0.3625,"HumidiFi(3), GoonFi(2), ZeroFi(1), TesseraV(1), ObricV2(1)"
WCGjysUBvtseVkDQ8tEbW5ubRSpvEo8E7dtnokzbXd9,1.0,5,"SolFiV2, HumidiFi, ZeroFi, TesseraV, ObricV2",10,100.0,0.38,"HumidiFi(4), SolFiV2(2), ZeroFi(2), TesseraV(1), ObricV2(1)"
6f5beNtA5VGo6FcgqBYhcYPjWSnToNGWBhj1Pi4Qk6RN,1.0,5,"SolFiV2, ZeroFi, TesseraV, GoonFi, HumidiFi",14,1.6740246249022321,0.34285714285714286,"SolFiV2(7), TesseraV(3), GoonFi(2), ZeroFi(1), HumidiFi(1)"
AhQ3d4iJqa5RzgenmiqYUXh8UkrjQoqbcMq1ANBLM6RD,1.0,5,"TesseraV, HumidiFi, ZeroFi, SolFiV2, GoonFi",21,5.7194686855685015,0.45714285714285713,"ZeroFi(12), TesseraV(3), HumidiFi(3), GoonFi(2), SolFiV2(1)"
H86zBwEMnQ99mfuLLjAe467gbSDAyc7RhdFfujnWtVCf,1.0,5,"HumidiFi, SolFiV2, TesseraV, ZeroFi, GoonFi",16,1.654313074211422,0.375,"HumidiFi(6), SolFiV2(6), TesseraV(2), ZeroFi(1), GoonFi(1)"
AJmMzgk58kvhWsAeXs3zCZDsV1FXQTANDrtyd2aG9RRX,1.0,5,"TesseraV, ZeroFi, GoonFi, BisonFi, HumidiFi",15,1.6259156012503413,0.3933333333333333,"ZeroFi(10), HumidiFi(2), TesseraV(1), GoonFi(1), BisonFi(1)"
84JRcz1XKasFeNjWRLTmifPQKatwG6YviTmzW5oTmuhC,1.0,4,"HumidiFi, SolFiV2, TesseraV, GoonFi",12,2.3522868666106875,0.35,"SolFiV2(5), HumidiFi(4), GoonFi(2), TesseraV(1)"
HVCXnXAx6vv77ateReRTHnt9QGHoCPPatzHpUpKzSsFP,1.0,4,"SolFiV2, TesseraV, HumidiFi, BisonFi",4,1.681272330857582,0.3,"SolFiV2(1), TesseraV(1), HumidiFi(1), BisonFi(1)"
3tRaWeEngasTkkx7QteHY4gixViHn2SASp7amx3oRAqC,1.0,4,"HumidiFi, SolFiV2, ObricV2, ZeroFi",38,172.5094577553594,0.3447368421052632,"ObricV2(17), SolFiV2(15), HumidiFi(5), ZeroFi(1)"
5Yyxuig5icB4h2zeGwDfy2Au9vxC3PFNMznih5kpqa9t,1.0,4,"SolFiV2, HumidiFi, GoonFi, BisonFi",7,1.2895947156911896,0.3857142857142857,"SolFiV2(3), HumidiFi(2), GoonFi(1), BisonFi(1)"
4Antd4H62moJzJ6JNp3QdLWGxzreLRf2uevRgdyPSKTq,1.0,4,"ZeroFi, HumidiFi, TesseraV, BisonFi",5,30.247068134881758,0.33999999999999997,"HumidiFi(2), ZeroFi(1), TesseraV(1), BisonFi(1)"
AsGG5WwWv88vnc7GWdZghsEwDqkjwHpWP7GVGANVr7yf,1.0,4,"ZeroFi, SolFiV2, HumidiFi, GoonFi",15,3.2846673371037665,0.3333333333333333,"SolFiV2(7), HumidiFi(6), ZeroFi(1), GoonFi(1)"
8QizN6DKEMzyEXRiJTQd3b6evVgP7NLifm8nHAEj6X1s,1.0,4,"HumidiFi, SolFiV2, ObricV2, ZeroFi",10,58.15005298115939,0.4,"HumidiFi(6), ZeroFi(2), SolFiV2(1), ObricV2(1)"
D7TFqqcCCGpft7VjFJef75XBrn39NjBpNk7xU5rWAKQo,1.0,4,"BisonFi, GoonFi, ZeroFi, SolFiV2",6,7.788681531269212,0.3833333333333333,"GoonFi(2), ZeroFi(2), BisonFi(1), SolFiV2(1)"
AkMaVmmh3KDGiXyMV6fkVXKHZNkmRzTWsMen39cHztst,1.0,4,"SolFi, GoonFi, SolFiV2, BisonFi",6,60.0,0.39,"GoonFi(2), SolFiV2(2), SolFi(1), BisonFi(1)"
AuCFZHy5uxarViUXyh6DcXjv5Z4ftMhYAnqxungHGeNt,1.0,4,"SolFiV2, ObricV2, TesseraV, GoonFi",14,16.968520028577142,0.36428571428571427,"ObricV2(8), SolFiV2(3), TesseraV(2), GoonFi(1)"
3ZwzGXWYyEhRN4J9F3XHTfBRPi4vhz8tLwP3ZcAX3eQ3,1.0,4,"HumidiFi, TesseraV, GoonFi, SolFiV2",6,1.9914959435256006,0.35,"HumidiFi(3), TesseraV(1), GoonFi(1), SolFiV2(1)"
