validator,mev_transaction_count
HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,190
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,169
JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,126
DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,122
5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,118
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,101
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,88
JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,76
ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,75
CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,71
9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,70
E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,69
EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,68
9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,61
Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,59
DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,55
DNVZMSqeRH18Xa4MCTrb1MndNf3Npg4MEwqswo23eWkf,51
shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,50
9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,48
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,46
J6etcxDdYjPHrtyvDXrbCkx3q9W1UjMj1vy1jBFPJEbK,44
BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,43
5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,42
krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,42
A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,41
22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,40
GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9,40
FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,39
Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,37
EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f,37
9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,36
5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z,35
7cVfgArCheMR6Cs4t6vz5rfnqd56vZq4ndaBrY5xkxXy,35
6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK,33
DrifTrN923QaouP89UxkQzFGbumKPCnfkNYQRwmZxatz,32
HbidP4hpQdwhkzrxder3x3VNPt6DQnE25gFG46napD2p,31
Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,31
HpcB5Qg8Y9E73dUkot5e8HkgAJbExsYeUzniY4bCuKac,31
CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,30
3SkE34PVeGck2ArEffFKjihrQgURsvnoTAhitsNXNzXd,30
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,30
BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,29
5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,29
AWcCdYG7Dy6GX45c6QMPbgGwgRZPKcBDT4bXGb3QrVRV,28
FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,28
GQzMeEMwAR44ugoNCifTb5NdRKos1GduDUPeNh6AgV46,28
9n1eEtJJfj1535NYfx524QcCG5aHbf5DH7ejqBrFLBwG,28
FbYX2uN573G5WsgiPdHU6fS5PNUyjdXfGfpZNkYUuT4k,27
3JotfSFPaod4KVK7nj7ULvcq5PjUBdZNVGracNkJNhrt,26
8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM,26
DTSUkYHd2e9P2HLyZfbLarsbDdPhQUhZnWjRYuJZQRC8,26
CfgRXmp1LEYr97EaT2RyoL2cSvtWgJh52Bes89RxVSoW,25
DUND26mEDfFeaPsVof3YvbXDRvpuQX7HMUJrLgEWzYw4,24
76rcGHdPvgs8G1XrzCXUTWtwgT59AFDvpB4VbTS2TBBJ,24
GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc,24
CG4tRANBKrzUmpv93V5sgftjQznBdiJsc2yPCzZWWuS9,24
Fc6NNdS2j3EmrWbU6Uqt6wsKB5ef72NjaWfNxKYbULGD,23
ana2y2YvQ3ZPMwm6qhnN3nJoUSiT3qx5Pvetkq9xcfY,23
EXckihF3qmguH5znjhfzLvHsbk2E3nEW2DqNh4MMnDMm,23
G2TBEh2ahNGS9tGnuBNyDduNjyfUtGhMcssgRb8b6KfH,23
G3a3iYZKNLbivothF3twqcaTCEvoPb9uJ2bFc9DNKkBQ,23
5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,22
6WgdYhhGE53WrZ7ywJA15hBVkw7CRbQ8yDBBTwmBtAHN,21
722RdWmHC5TGXBjTejzNjbc8xEiduVDLqZvoUGz6Xzbp,21
CoG8d9Fp2TFJRkAmrPMiPsGhQWHzdTTVoegEp9svRgmJ,21
8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7,20
7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,19
5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,19
GmCxjmjKZoaKN1DKunbYq8RCYib94Nm3sHyncFfofaF5,19
2m1A2WM1vte7RWz5xTTw4i1SiXmngVtXhqFERaUjoAAb,19
VQwCCSfW3o5NDx7n5FBr9SoYiLXVgetstHvaWBvv2YH,18
BUv44cVtsdvU9z2BfFGk6s5JZZWrmVnq5qCaii5ARyyB,18
DZVqmD4QqSWM2gUyEXdQhvt4u3NZtCRxdsn2n2nNiBRL,18
AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,18
Cogent51kHgGLHr7zpkpRjGYFXM57LgjHjDdqXd4ypdA,17
AMukCLCr52XxsEjXoDxKKxjNg4FpnsReXNaQx8aR6DJF,16
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,16
CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,16
A9mvukTd77EbRoBX4ydSCFQHdu5bsRFkNXTTRstA8FAC,16
privaEdSEmnMPGPoQACUkcDGkFBbTArVvsEGd7C5wUM,16
C1ocKDYMCm2ooWptMMnpd5VEB2Nx4UMJgRuYofysyzcA,16
HM1KjNaXa4w8K4gCXbieoMh5gUTNeUhg9fvdXMKeBW3L,15
FZ4MT1HYJHd9GK8D5mJ9f3r7irLaDL5NxBNLjGqrLqs9,15
HLnodbYkL5PFA8hjAZDkm5pGzV7eLTvcs671AW2L6St9,15
4SsMncJdtKiUcDtukkX15mqei7WiuQ9yvRtQrQW4reWC,15
BXAxLMMMUNYfC1z166VjWHR3WjTmqzLxB837o5ghmRtH,15
aXiomFkk6VzXaBhPuhMqTLZZguCFzzbyP9LTtZ7ZHLQ,15
Ninja1spj6n9t5hVYgF3PdnYz2PLnkt7rvaw3firmjs,14
BeaCHioStqCEFDFxKwAEzyrUPYxqnBPhJ98gDKeEiTPb,14
AiDoLWFKzNxSXKeZ4zym2TEPkg6F4kQ3YBA8WhANVPEq,14
G9vCpJUUSpEm4zPwzSNpDmZ8MGwLEbiSLV59EBzCGvzM,14
LA1NEzryoih6CQW3gwQqJQffK2mKgnXcjSQZSRpM3wc,13
XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,13
FzQqaDStQQHs52YKeCnDovwSqvyZBCgs2kJcmvoFZwaS,13
RBFiUqjYuy4mupzZaU96ctXJBy23sRBRsL3KivDAsFM,13
6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8,12
9iFPQbP1jGkj67sXg6YLLGRUBVEDMcapdS6jmCZSnz8R,12
Ex1AxFCipXGfSxgvXPPT3nPQUARddCduHwKR6jHiXAaT,12
CXPeim1wQMkcTvEHx9QdhgKREYYJD8bnaCCqPRwJ1to1,12
7tqeaFKsg2K9xKnQWe61w71AtCZVMQvG4hbFAiFAngYw,12
7Zm1pE4FubFYZDyAQ5Labh3A4cxDcvve1s3WCRgEAZ84,12
Ha1iade1AH3B12K9SccfWoPdFtQKKQsj2ZyWwxcjqJJU,12
HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,12
pSoLoZx55zZz61gjxSTwHtwTg4yTwdm7ruBmyjbYgT2,12
bkpk9KVsDRfrArzzmkJ9mPEvbXfQxczzQYR3QMGiR8Z,11
9gFxqsXbFyrKXUkqpAatonn47uYZ7sEZSnMxhzQoXrUJ,11
8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,11
7PdKhpKz7T39vZHFL1UfcYNDsLvay6hp4KPQq1aUckFf,11
puffinQSvKFriPbyE5atyx1ptfnyytovbzxybr1jsyy,11
G1bLKfyNm7zsmmYEL9dyxBvMtxpFcwy2s84bHDj2ZFUY,11
Ste1115xFGdAYK5jaWA3dEFcUc1S5jEbVvD8e327zty,11
HaLanfo94ezLc3JZ55qqxr7W3qbe1PprJyv2uEtriEqN,11
6aDs9tUm2gErcPn2c1TZnp5cu2bQV9BzyuwW4baWQYd4,11
9AW87WqARQonyJYhx1G25fKfvjURFYVmHs79z1NUXDPD,11
fishfishrD9BwrQQiAcG6YeYZVUYVJf3tb9QGQPMJqF,11
mrgn4sJJu5GBa5wbKyjuASzhyCifvcedGoLtpKjB3Wf,10
grptonHnt7YSmJokGK9TJJTBXDT8ca4LSWMHCCfzzPa,10
5MAGJ3zShtXMMVXjZRoFqtFF7XhP8iLSyZrxdL7KpjcB,10
6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,10
1unarWPGGseFag2WfnoFv8o9P7vTPU8eHex9GinP3eY,10
FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH,10
mineL1YNwcRnxN93B2sX6q22R11WfRqxnY4NBV8KfFY,10
3s97yjq2MhoPVPC3U9VeE3Z5S643Pweovg88ysvrQPw5,10
5RvfTSowms7BTYaBj8SxVjj7ELAAKdQadKsuNpmBAwCs,10
EBoKqyT2kCabcHXgpF7ScwrHgGUsR821xkTJsHtP2JJi,10
t23p8aBQN6P6tziMuN5XPmzqVRrip9oes7KuQwSmate,10
3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS,9
RNXnAJV1DeBt6Lytjz4wYzvS3d6bhsfidS5Np4ovwZz,9
anza1rXDVhy1NfVNtsbT3kSBh2jgB1BGZUKuUibSAJd,9
7QQGNm3ptwinipDCyaCF7jY5katgmFUu1ieP2f7nwLpE,9
HzrEstnLfzsijhaD6z5frkSE2vWZEH5EUfn3bU9swo1f,9
7GkMBmtrTZz8QbjSe1sXvAUtz7Pp42SQxfT5ymmJD4We,9
DZv25oNCWFvGXu9tH63BiAXvG94syweGZhbvdN3HxDxT,9
CPcDFHCAKkr5Kp9T5aQWJhXV5J6iFj141NMQ87L6poPL,9
7EzbSahSfSjeRexHcNDLDpzHBAGBLjLKtjbmuoQnEtjE,9
CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm,9
FBbqKvwLfKGZrKrfSbPJz4ymQ7zMarhRyZtu1RBkSe89,9
Frog1Fks1AVN8ywFH3HTFeYojq6LQqoEPzgQFx2Kz5Ch,9
rubyWZkfnjG716rx69n2oCAhevVZaMRQunir9VQcY2E,9
3YVoK8UN62dyiPZnGBzBTkGdwsVmmK1MpRoLcxNRs9BE,8
soLStaCk5TiGCpeLKa9Fvv6f5JQGMa6S3uhLh826e9N,8
7qGNnXKW1e3DsqEaSxwxMdBTFsrK73XtWTmkGitRyMQc,8
6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV,8
spcti6GQVvinbtHU9UAkbXhjTcBJaba1NVx4tmK4M5F,8
CLsFr1KZVbAyz16iFpwg2e4hiekR1unpwyxfNdjBMaoE,8
HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,8
AicQr2zCWBLiBwt2r6o7iTemmtyE7q5pTKyuuupbXEQA,8
CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,8
DZVySotZvrvJyVAcgjFtUDm93zoCaq9wBruMAUz83CWW,8
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,8
TxtxXzLTDQ9W4ya3xgwyaqVa6Tky6Yqhi5BLpPCc9tZ,8
5zm9g3zgAPWzX3wmUB2JtTkcwCqe74NWsTmt5wLFwCKK,8
ACvL73V4GNnxPVfZ7K89jCrYurLyzpEuE9qirjvh2Xmi,8
GYx8kpp7SsRwtQEEsGQjAxb4hFMMmT91kFJuDeky3YGQ,8
58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn,8
UPSCQNqdbiaqrQou9X9y8mr43ZHzvoNpKC26Mo7GubF,8
ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY,8
8pyp3vfVPRziYdAYEyqkwytdBbdVbQmHqfQAVDcRV3w,8
SscQkTYV2BFQYGGffAmTzvefrFrw6z9GNYiWHstVZ77,8
nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,8
8n4pc4sCJtBeLfJdGyJn6EcZuhtfTiepRa9ExdJFdmEN,7
AqyRvpjjSN6jWYPxijoJwhmKwJFk6fRYDh9fQZHcJ2o7,7
5HYjArGt81naevDdwMaEx8yeGNw9jYBSDJa8YavT9Mp4,7
radM7PKUpZwJ9bYPAJ7V8FXHeUmH1zim6iaXUKkftP9,7
bxrAptB5ZpZBhoLedJpoGWY5hBjjt3zvVBr2323Rrq6,7
8vk6QpG93JSaQCSgnycBsv5qmfQBk4qC9FjNA35E5JhU,7
SSmBEooM7RkmyuXxuKgAhTvhQZ36Z3G2WsmLGJKoQLY,7
57i31UEyDg4koaZMZ1wAHbYuezXv3AVaHtvJgJarxt3f,7
Diman2GphWLwECE3swjrAEAJniezpYLxK1edUydiDZau,7
D3htsc6iRQJLqCNWcC2xcZgUuvcd1JT8zoYNqraNcTQz,7
5Us18hLZPXJTS4QVuGSsUw137Dyd2tgBaem24Xsf5nBS,7
Spiky3mMSLHGhffuEhYR7ptMNZ8NddddwrTjki4VhWk,7
oPaLtitM6cwpFVzP2rDhLsJLdY2vcbuZiJJyD1TFUKs,7
A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,7
mint13XHZSSxtgHuTSM9qPDEJSbWktpmpM4CZxeLB8f,7
ETuPS3kRfLufz5VSYN2ZrePoEVSZSpgVPKz3MUZpYe3x,7
2mMGsb5uy1Q4Dvezr8HK2E8SJoChcb2X7b61tJPaVHHd,7
EUcJwf7jXskRE6NZBtFPVH2EedNvNYko8LL2WT62XctB,7
