bot_signer,sandwich_attack_count
YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,3782
YubVwWeg1vHFr17Q7HQQETcke7sFvMabqU8wbv8NXQW,1484
AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,1361
E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,953
88S3zQ4RhahQJSMrusV3sxhZXJewo4oQ3ErNTXaN9VgR,738
k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,637
enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,626
CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,608
4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,516
AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,502
