validator,transaction_count
HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,210852
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,198106
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,146596
JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,135318
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,118664
5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,115421
DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,99183
JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,94233
9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,82773
Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,82038
EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,74164
CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,71992
9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,68798
E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,64928
ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,62764
9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,61927
BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,58291
J6etcxDdYjPHrtyvDXrbCkx3q9W1UjMj1vy1jBFPJEbK,55997
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,54209
5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,53299
