attacker,total_trades,pool_trades,unique_pools,pools_per_trade_ratio,top_pool,top_pool_trades,top_pool_%
avqJiqdwHCWGMaDpEUnwZ8iFutj5rzP4sPez9yYyGZL,2,2,2,1.0,FksffEqnBRixYGR791Qw2MgdU7zNCpHVFYBL4Fa4qVuH,1,50.0
GfcfkUU4fnKHzu3pBUL72DSXQo4A3ZzKNyETieJy8CH,2,2,2,1.0,FksffEqnBRixYGR791Qw2MgdU7zNCpHVFYBL4Fa4qVuH,1,50.0
H7DkxYE6xC79N2uFqFVutrUwdYUCY4TWGg5DvwMvpodN,2,2,2,1.0,65ZHSArs5XxPseKQbB1B4r16vDxMWnCxHMzogDAqiDUc,1,50.0
4bEkAnJJSXue5REguwVF4TmdWxJ1aLqECMAZ3VPErPh7,2,2,2,1.0,65ZHSArs5XxPseKQbB1B4r16vDxMWnCxHMzogDAqiDUc,1,50.0
HRb8GUhRxKtLbk46XUm33baxryUACwMwQ9epAANQwXkG,2,2,1,0.5,8iwiQ9CzYKAMAx3mYE8MYrFdRcw8XmSJUcXAzGGFqCLJ,2,100.0
48MTZkhu9pgSwFUUn8Xuvasd4BAzoc7C4FMW1DtxdiT5,2,2,2,1.0,DB3sUCP2H4icbeKmK6yb6nUxU5ogbcRHtGuq7W2RoRwW,1,50.0
GfTVQU5ipi5SxmMQDNztvrvdxRKuWuQYAJhPu1gPnUdt,2,2,2,1.0,FksffEqnBRixYGR791Qw2MgdU7zNCpHVFYBL4Fa4qVuH,1,50.0
GzMx2sTfdVNQqkZqs4L5N241JPZZ8p1TcYyryjDRRixN,2,2,2,1.0,DB3sUCP2H4icbeKmK6yb6nUxU5ogbcRHtGuq7W2RoRwW,1,50.0
2AA2qSabLeeC4RvLRsC9oywV8w8XdWUGAzKL5DqPqMuX,2,2,2,1.0,65ZHSArs5XxPseKQbB1B4r16vDxMWnCxHMzogDAqiDUc,1,50.0
7QEGRUVApTMF12uRVNTNLKQNJPpXQxfHwi4C3aVdbpP2,2,2,2,1.0,65ZHSArs5XxPseKQbB1B4r16vDxMWnCxHMzogDAqiDUc,1,50.0
