amm_trade,attacker_signer,back_running,fat_sandwich,front_running,sandwich,validator,sandwich_complete,cost_sol,profit_sol,net_profit_sol,confidence
BisonFi,1989zAmZBwkwR6g8S3H8gkDhHRm3P11gpurN7faJqDu,0,26,0,0,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,13,0.013000000000000001,0.13,0.117,high
BisonFi,1aTFUD4BJL3CXAK5NSgDJVR99nVpQrK1BqD5SGSix23,0,9,0,0,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,4,0.004,0.04,0.036000000000000004,high
BisonFi,234yME8PspEqhboswMsJtGRebWsrdLgLwqM7HRmnaiDk,0,1,0,0,4vdWYn2KbmQ3Dns5wVBfz4CFQDds4b7CpsC8MHBhHAib,0,0.0,0.0,0.0,medium
BisonFi,29RoAoc5ZxuEMAWhfiLgxSh7xBRoZyDjmVckkY4D3ERu,0,1,0,0,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,0,0.0,0.0,0.0,medium
BisonFi,2B52u2xhQwBub5nLfWP3EsQ9ek2ZkAxvgBV6m9iizX8v,0,1,0,0,Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,0,0.0,0.0,0.0,medium
BisonFi,2EZWAWuv9e4pgcxPZRMmEffDH8q45S573gu5pDRp72HT,0,5,0,0,6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE,2,0.002,0.02,0.018000000000000002,high
BisonFi,2SvvSFgzM9zEE1Y1vNXorfurtB2eRH3QHpMkpcVTXfrc,0,2,0,0,5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,1,0.001,0.01,0.009000000000000001,medium
BisonFi,2b4NhGTayvycDf7VvZGd6xpSjs3f7iiRZQSyjs71yJ23,0,6,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,3,0.003,0.03,0.027,medium
BisonFi,2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,0,68,0,0,ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY,34,0.034,0.34,0.30600000000000005,high
BisonFi,2n78p72RVYbyAiPtzZCNBYjMsEXKRiqfd5zArK8r2tgG,0,2,0,0,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,1,0.001,0.01,0.009000000000000001,medium
BisonFi,2npqrs8E9iWPGjRhWp7BsD9nG62xnBm9Av4rWgqF3ZPK,0,4,0,0,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,2,0.002,0.02,0.018000000000000002,medium
BisonFi,2snHHreXbpJ7UwZxPe37gnUNf7Wx7wv6UKDSR2JckKuS,0,1,0,0,yJeahQNRHNWtL9Z1SqPX3SBwTYXr5ECMYYVK4uYVwxt,0,0.0,0.0,0.0,medium
BisonFi,2svZLkuBny8diCa9kApRsHEgtPPtDo7aKasLUyPqUrDd,0,1,0,0,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,0,0.0,0.0,0.0,medium
BisonFi,2trfSP5P9WuaoCj46Mw6atyBKvNuGHdUmce3T8y4f4MM,0,1,0,0,5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,0,0.0,0.0,0.0,medium
BisonFi,3333JG5dZ1nRDyKwCmrC3HwoevuaFP5L7p3AAjfagggg,0,1,0,0,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,0,0.0,0.0,0.0,medium
BisonFi,3DeH5H3gLgJA31yCM8ZG8e2z6iZEmAhz3mfxtCZAGgCp,0,1,0,0,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,0,0.0,0.0,0.0,medium
BisonFi,3NC8bmzCeEK2NBw1G5W6EmR66DNRW3gR22CGMt9EmxrU,0,24,0,4,2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,14,0.014,0.14,0.126,high
BisonFi,3VCPfHSKNYnnDsTuZWBYmTtSmMVTzTU8u6fbzn7PeWfp,0,1,0,0,BLUEHGDihXD9CqqC5XFSQzDC3aS5jASohb2BAsXaJokR,0,0.0,0.0,0.0,medium
BisonFi,3ccqanQ7s9T7usEaPh6DcESrjW3MphhwEtDHKNmSxR23,0,4,0,0,6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE,2,0.002,0.02,0.018000000000000002,high
BisonFi,3xb1APhYyenJhoq6Kpjetps9rsmS8kJAGhXVBHaDyWmL,0,9,0,0,CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,4,0.004,0.04,0.036000000000000004,high
BisonFi,4AjDmWKDvDQ2uY5HDPRfoswi6i9kaKvsqvUzLBRrUcdV,0,1,0,0,7GkMBmtrTZz8QbjSe1sXvAUtz7Pp42SQxfT5ymmJD4We,0,0.0,0.0,0.0,medium
BisonFi,4FU6wrKF8PjLJ37NZ8igU9uEKoS4ue5jtgXYckVi2pCw,0,1,0,0,2m1A2WM1vte7RWz5xTTw4i1SiXmngVtXhqFERaUjoAAb,0,0.0,0.0,0.0,medium
BisonFi,4RvgumbsgRftVLTK1cXGsyXnuGVm42juEMSkRA9JHLNb,0,1,0,0,BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,0,0.0,0.0,0.0,high
BisonFi,4dC1XCS2R2rqm1TXgq2K2QX4T5eCSYTW5QSu4TJAYh23,0,6,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,3,0.003,0.03,0.027,high
BisonFi,4i3kFLZuutG5fvjg5wvq15n4NPpj12wXCRMyP7TcZbNj,0,4,0,2,5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,3,0.003,0.03,0.027,high
BisonFi,4nuQicMxNPUbZPFrDSBzzV4Mvc1fKFnc9zPy8JFAcr8v,0,1,0,0,ETuPS3kRfLufz5VSYN2ZrePoEVSZSpgVPKz3MUZpYe3x,0,0.0,0.0,0.0,medium
BisonFi,4o9Sgxpam1ihEJLPKxpgPfMpgxhXpcGEqPGptLxGJ7yv,0,1,0,0,FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,0,0.0,0.0,0.0,high
BisonFi,4q7KbhSahHbdxCPzCWVbzJzHopqvVfoD789bu4EwEujM,0,1,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,0,0.0,0.0,0.0,medium
BisonFi,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,0,127,0,2,9n1eEtJJfj1535NYfx524QcCG5aHbf5DH7ejqBrFLBwG,64,0.064,0.64,0.5760000000000001,high
BisonFi,4uo4N7Q6GZS4TZtpXCZVfrUhM7mnkyVUEvkrWWXoCqEv,0,1,0,0,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,0,0.0,0.0,0.0,medium
BisonFi,5CTXm4kikfpi9TvSJk4DPfgqrqPuN1zrPRWAVEtteCXe,0,1,0,0,ETuPS3kRfLufz5VSYN2ZrePoEVSZSpgVPKz3MUZpYe3x,0,0.0,0.0,0.0,medium
BisonFi,5UH56M4SmCEnqNb5GrZ7XXx9vSLGJ3xihmLmSrFCk4EL,0,5,0,0,2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,2,0.002,0.02,0.018000000000000002,medium
BisonFi,5Vb3pMz8CQYpEVbjx1RhqihrycxZ3SPPCMBKQGNcCeYE,0,1,0,0,57i31UEyDg4koaZMZ1wAHbYuezXv3AVaHtvJgJarxt3f,0,0.0,0.0,0.0,medium
BisonFi,5Y8qP9AavHyG69gTMbJP6v3Cj85VnDimdE1GZtfdV1WL,0,6,0,0,KoLibrJsbABbtmtFPc7nPvDxT81rc4UPM7mY9xSLjpo,3,0.003,0.03,0.027,medium
BisonFi,5Zm6GraYjpaNCoAnTpWThxzynVZvPM8DdcVvyK9vecKT,0,24,0,0,ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY,12,0.012,0.12,0.108,high
BisonFi,5cU5rbxAcpaGoPyms9jKoXQX5EiZzD3DNmwzbC3qE8Sd,0,7,0,0,7QQGNm3ptwinipDCyaCF7jY5katgmFUu1ieP2f7nwLpE,3,0.003,0.03,0.027,high
BisonFi,5ePvEZx19BZxVvF3nu6gQacoBA9mEFV82eGnRNrnhK23,0,8,0,0,parafiUS6h6oLhCFwhjvEmQJKw8pF1iXsxMJdTq46dS,4,0.004,0.04,0.036000000000000004,high
BisonFi,5hy2dBqoUu8L3MGQvdryhNYDSGDjjWXDadA1g7nSbTg8,0,1,0,0,Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,0,0.0,0.0,0.0,medium
BisonFi,5tkPL9BaSmj3W4YLDCocL41RPeLsw7CAEkWW7ivqF5v1,0,3,0,0,bxrAptB5ZpZBhoLedJpoGWY5hBjjt3zvVBr2323Rrq6,1,0.001,0.01,0.009000000000000001,high
BisonFi,5wMHFyCgRrggsKWrvS2zHDHi7V6xfwfSAsZG95LwXYUQ,0,7,0,0,Diman2GphWLwECE3swjrAEAJniezpYLxK1edUydiDZau,3,0.003,0.03,0.027,medium
BisonFi,61yfAVS257Jgx7oMhUG5uZVZMbcnfuZM3JG3BYgdyfT4,0,2,0,0,shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,1,0.001,0.01,0.009000000000000001,medium
BisonFi,666zhExqDUnApdhG4YAN7Vw4eTQyc6L988mRTqjqh73t,0,2,0,0,5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,1,0.001,0.01,0.009000000000000001,medium
BisonFi,68HKBoDYFRK9DsXZgGuP7357D6ASrosHfLZYpvBiLbwK,0,4,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,2,0.002,0.02,0.018000000000000002,medium
BisonFi,6FPgDPwgAY4WskguMZ5t4R8ujCtrCJghRELwBXxyLYCC,0,3,0,0,BeaCHioStqCEFDFxKwAEzyrUPYxqnBPhJ98gDKeEiTPb,1,0.001,0.01,0.009000000000000001,medium
BisonFi,6gRnEaxAPr1hjtwCzrmSAztA4xbHCVNWJSRXh74sXFKJ,0,5,0,0,G9vCpJUUSpEm4zPwzSNpDmZ8MGwLEbiSLV59EBzCGvzM,2,0.002,0.02,0.018000000000000002,high
BisonFi,6vYTCxJKoVMZvrthxzGCMLp5xgyJUoWeK3JZNk4H5Aut,0,1,0,0,7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,0,0.0,0.0,0.0,medium
BisonFi,6w56SRhxWCtryzYAv92AVBdaE4oUzZzjXTEsFQ6eTKVN,0,2,0,0,SANDCxXBbQhvbUqNtiLqKdFEY1uQhVo1UgUACaS4mXU,1,0.001,0.01,0.009000000000000001,medium
BisonFi,71wKmu7jUhSgbo1HGiuA3ShfgAHAJfqZxjMW7HJexyVR,0,8,0,0,krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,4,0.004,0.04,0.036000000000000004,high
BisonFi,7CpXUjkEqAb3NRWU9j9bmUZnGrh4nMBsJiX5NwBT5uv3,0,1,0,0,CLsFr1KZVbAyz16iFpwg2e4hiekR1unpwyxfNdjBMaoE,0,0.0,0.0,0.0,medium
BisonFi,7JJ4RrYC4wBb2ZangbVW4XbQenhEbkdoo7vhoWoShYjp,0,10,0,1,Sh1ro1CaaVjNuihgNK6kay7jwcWzSqD2fdix6RNPaSh,5,0.005,0.05,0.045000000000000005,high
BisonFi,7JQeyNK55fkUPUmEotupBFpiBGpgEQYLe8Ht1VdSfxcP,0,2,0,0,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,1,0.001,0.01,0.009000000000000001,medium
BisonFi,7JXsUz39AF1tMFYoSt6yreujEKFQnEUpQQyzK3Daxr4N,0,1,0,0,6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV,0,0.0,0.0,0.0,medium
BisonFi,7N64ZSHtgdqfsGdiYMBjk1Sz3KzGYyJdzVTf1bVZzoUp,0,1,0,0,CG4tRANBKrzUmpv93V5sgftjQznBdiJsc2yPCzZWWuS9,0,0.0,0.0,0.0,medium
BisonFi,7jN6hUdNBdkK12wVM2iydxx9hzsxUhUppmr99Aeu6cKb,0,2,0,0,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,1,0.001,0.01,0.009000000000000001,medium
BisonFi,7rtiKSUDLBm59b1SBmD9oajcP8xE64vAGSMbAN5CXy1q,0,1,0,0,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,0,0.0,0.0,0.0,medium
BisonFi,7vMSQNwtqUSXLL882rrgkKGBWwUdLyY4CSu25y3hFzz2,0,1,0,0,9q16BB7WGmBxf1nJTdxH5zPnBUhtHqdqXqRFjSjuM4k7,0,0.0,0.0,0.0,medium
BisonFi,82uGui1spthKWZccMYXcKaRrNREN5a1kBUihfq7gL3bs,0,1,0,0,8uPW9msN75rfaKiwy8y8NxEX5zSk2WejtVv5YhZr3jCo,0,0.0,0.0,0.0,medium
BisonFi,888SGnyhGzqQuuWDVL48tn7xJsAEV259mK9V4YEcUn6f,0,4,0,0,E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,2,0.002,0.02,0.018000000000000002,medium
BisonFi,88S3zQ4RhahQJSMrusV3sxhZXJewo4oQ3ErNTXaN9VgR,0,25,0,0,CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,12,0.012,0.12,0.108,high
BisonFi,8B56ppYnCceiSiJRPxyxqp9myggQyUAW2D83JAnp8Leb,0,1,0,0,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,0,0.0,0.0,0.0,medium
